请把以下所有内容整理成美观的表格形式：
测定类别	临床意义	
复合前列腺特异性抗原(CP-SA)测定	"异常结果： (1)前列腺癌患者血清游离PSA(F-PSA)及总PSA(T-PSA)值均明显升高,以T-PSA升高更明显,故游离PSA与总PSA比值(F/T比值)下降。 F/T比值可用于区别前列腺癌与前列腺增生症。尤其当PSA水平限定在4-10μg/L范围_时，应用F/T比值较PSA为优。 (2)PSA对于前列腺癌的早期诊断、临床分期、术后疗效观察及随访具有重要的临床意义。 (3)在前列腺增生(BPH)、前列腺梗死、急性细菌性前列腺炎、急性尿路梗阻等也会引起血清PSA水平的升高。
需要检查的人群：有尿频、尿急、尿潴留、尿痛、难以形成尿流、血尿、骨头疼痛等症状的人群。"	
前列腺酸性磷酸酶测定(PAP)	异常结果： (1)前列腺癌患者血清PAP水平明显增高，且PAP水平随前列腺癌病情进展而升高，有转移者较未转移者升高更为明显。提示血清PAP检测对前列腺癌的分期及预后	
	判断具有一定的临床意义。 (2)血清PAP水平升高还可见于其他恶性肿瘤如骨肉瘤、多发性骨髓瘤以及其他癌的骨转移等。 (3)在某些非肿瘤性疾病如前列腺增生、甲状旁腺功能亢进症、骨质疏松等亦可出现血清PAP水平升高，但测定值较低。 需要检查的人群：有尿频、尿急、尿痛、血尿、骨头疼痛等症状的人群。	
神经元特异性烯醇化酶测定(NSE)	小细胞/非小细胞肺癌的诊断和鉴别诊断、肺癌的首选标志物，用于肺癌、甲状腺髓样癌、嗜铬细胞瘤、黑色素瘤、胰内分泌瘤的辅助诊断	
细胞角蛋白19片段测定(CYFRA21-1)	非小细胞肺癌等肿瘤的诊断	
糖类抗原测定	广谱肿瘤标志物，可用于胰腺、肝、卵巢、肠道、胃、肺等肿瘤的诊断和疗效监测	
鳞状细胞癌相关抗原测定(SCC)	肺鳞癌、子宫颈癌、食道癌、肛门、皮肤、口腔癌等鳞状上皮细胞癌的鉴别诊断	
肿瘤坏死因子测定(TNF)	与肿瘤的发生发展密切相关	
肿瘤相关抗原测定	应用单克隆抗体MG7,MG9,MGb1,MGc1和MGd1的混合物及免疫放射分析法，测定了胸腹水中肿瘤相关抗原MG-Ags，发现胃癌和肺癌患者胸腹水中MG-Ags平均含量及阳性率明显高于结核性胸膜炎、门脉性肝硬化，卵巢患腺水中MG-Ags未见升高。6例肺癌胸水第一次细胞病理学检查未找到癌细胞，而免疫放射分析发现其中4例MG-Ags升高。揭示采用IRMA法测定胸腹水MG-Ags有助于瘤性浆膜炎的诊断，并在一定程度上判别痛细胞的原发脏器。	
铁蛋白测定	广谱肿瘤标本物，用于肝癌、肺癌、缺铁性贫血辅助诊断	
恶性肿瘤特异生长因子(TSGF)测定	肿瘤普查	
触珠蛋白测定	是一种急性时相反应蛋白，在发生炎症的情况下血清浓度会很高，当烧伤和肾病综合征引起大量蛋白丢失时可见增加，严重肝病患者合成降低	
酸性糖蛋白测定	恶性肿瘤细胞会产生酸性糖蛋白，在肿瘤转移时升高更明显	
细菌抗原分析	利用已知特异性抗体检测标本中病原菌抗原成分可做出快速诊断，即使患者曾使用抗生素，细菌生长被抑制，利用培养方法不能检出细菌，因尚有特异抗原存在，仍可通过检测病原菌抗原明确病因。	
组织多肽特异抗原(TPS)测定	组织多肽特异性抗原属于临床上常用的一种肿瘤标志物，组织多肽特异性抗原在临床上有助于对晚期转移性乳腺癌的辅助诊断	
等克分子前列腺特异抗原测定	前列腺癌的特异性标志物，前列腺肥大、前列腺炎或者前列腺按摩后也可轻度升高	
尿核基质蛋白(NMP22)测定	NMP22用于膀胱癌诊断和疗效观察。	
甲胎蛋白异质体测定	异常结果: LCA-R≥25%者有80%-90%的可能是原发性肝癌，低于此值者为良性肝病 需要检测的人群： 又原发性肝癌，肝硬化，黄疸，腹水，肝癌等症状的人	
胃蛋白酶原Ⅰ检测	"胃蛋白酶分泌减少见于胃癌、萎缩性胃炎、慢性胃炎、慢性胃扩张、慢性十二指肠炎、恶性贫血以及甲状腺功能减退症等。胃蛋白酶只有在酸性较强的环境中才起作用(最适
pH2)，随pH值的增高，胃蛋白酶活性则降低。胃癌、恶性贫血等胃内无游离酸者，胃蛋白酶的分泌常全无。"	
胃蛋白酶原Ⅱ检测	"胃蛋白酶分泌减少见于胃癌、萎缩性胃炎，慢性胃炎、慢性胃扩张、慢性十二指肠炎、恶性贫血以及甲状腺功能减退症等。胃蛋白酶只有在酸性较强的环境中才起作用(最适
pH2)，随pH值的增高，胃蛋白酶活性则降低。胃癌、恶性贫血等胃内无游离酸者，胃蛋白酶的分泌常全无。"	
血清肿瘤相关物质检测(TAM)	检测血液中的肿瘤相关标志物	
胸苷激酶(TK1)检测	评估各类增殖类疾病恶变风险：处于过度增殖的增殖类疾病是肿瘤形成的第一步。基于TK1与细胞增殖的密切关系，能够灵敏地检查出TK1浓度的变化，从而发现恶性增殖风险，为肿瘤的预防提供增殖信息，适用于健康人群的肿瘤预防检乳	
肿瘤异常蛋白(TAP)检测	肿瘤异常蛋白即肿瘤标志物，常见的有甲胎蛋白、CA125、CA153以及癌胚抗原等几十种蛋白质。肿瘤异常蛋白存在于人体的血液当中，通过抽血进行肿瘤标志物检查可以被发现，在一定程度上可以提高早期癌症的检出率。	
人附睾分泌蛋白(HE4)测定	最新的卵巢癌筛查指标，可与CA125联合检测提高卵巢癌筛查的敏感性和特异性	
血清胃泌素-17定量检测	胃泌素17异常时，提示患者可能出现胃酸分泌异常，说明患者可能存在胃肠道病变，如萎缩性胃炎、甾门螺杆菌性胃炎、高胃泌素血症、胃食管反流、胃溃疡、胃泌素瘤、胃癌等起霄泌素17的升高。	
测定		
钾测定	"正常情况:(3.3-5) mmol/L
增高：少尿，阿狄森病，类癌综合征，饥饿，慢性消耗性疾病，发热，慢性阻塞性肺部疾病，服用安体舒通、氨苯烯啶等利尿剂。降低：卵摄入不足、呕吐、腹泻导致钾的缺失，肾功能障碍，醛固酮增多症，柯兴综合征，先天性肾上腺皮质增生，服用利尿剂、糖皮质激素等。"	
钠测定	"正常情况:(134-143) mmol/L
增高：呕吐、腹泻，多尿引起的水分不足，肾上腺皮质机能六进，肢端肥大症，降低：肾功能障碍，尿毒症，应用速尿等利尿剂，阿狄霖病，21-羟化酶缺乏症，心功能不全，失代偿性肝硬化。"	
氯测定	"正常情况:(95-105) mmol/L
增高：少尿，呼吸性碱中毒。降低：肾功能障碍，尿毒症，应用速尿等利尿剂，阿狄森病，21-羟化酶缺乏症，心功能不全，失代偿性肝硬化。"	
钙测定	"正常情况:(2.25-2.75) mmol/L
增高：甲状旁腺机能亢进，骨肿瘤，应用维生素D过量。降低：手足搐搁症，甲状旁腺机能不全，维生素D缺乏症，骨质软化症，佝偻病，慢性腹泻，阻塞性黄疸，肾脏病，急性出血性胰腺炎。"	
无机磷测定	"正常情况:(00.97-1.6) mmol/L
增高：肾功能不全，甲状旁腺机能低下，肿瘤骨转移，肢端肥大症，维生素D中毒，废用性骨萎缩。降低：甲状旁腺机能亢进，维生素D依赖性佝偻病，吸收不良综合征，肾小管功能不全，范可尼综合征。"	
镁测定	"正常情况:(00.7-1.15) mmol/L
增高：肾小球肾炎，少尿，肌无力症。
降低：尿毒症，原发性醛固酮增多症，使用利尿剂，妊娠。"	
铁测定	"正常情况:(9-27) umol/L
增高：再生障碍性贫血，粒幼红细胞性贫血。降低：缺铁性贫血，真性红细胞增多症，慢性感染，恶性肿瘤，肾性贫血"	
血清总铁结合力测定	"1.生理性变化：新生儿降低，女青年和孕妇增高。
2.病理性变化：①降低：转铁重自合成减少，如肝硬化、转铁蛋白丢失，如肾病综合征，肿瘤及非缺铁性贫血等；②增高：转铁蛋白合成增加，如缺铁性贫血和妊娠后期；转铁蛋白释放增加，如急性肝炎和肝细胞坏死。"	
全血拍测定	铅为有毒金属元素，铅增高可引起肾上腺素皮质功能减退。高血压、贫血、胃肠功能紊乱，儿童智力下降和行为异常等，损伤生殖细胞及性功能	
血清碳酸氢盐(HCO3)测定	"血清碳酸氢盐值偏高：一般表示机体内可能发生代谢性碱中毒
血清碳酸氢盐测定偏低：一般表示机体内可能发生代谢性酸中毒"	
血一氧化氮分析	"1.一氧化氮为评估血管内皮损伤的首选标志物，检测NO水平对血管内皮损伤的临床诊断、病情的跟踪分析与判定、临床治疗疗效动态跟踪和预后评价具有重要的参考意义。
2.检测一氧化氮对心脑血管疾病发病机制的探讨及有效地图导临床治疗也具有重大价值。
3.用于健康体检的筛查，对早期血管病变及相关心血管疾病进行预警。
4参考范围:30~60μmol/L;"	
微量元素测定	检测人体内微量元素平衡状态，预防微量元素失衡所致疾病的发生	
	"1.血清离子钙升高
多见于甲状旁腺功能亢进症、代谢性酸中毒、肿瘤、维生素
D过多症等。
2.血清离子钙降低
常见于原发性甲状旁隙功能减退症，继发性甲状旁腺功能减缺乏症。"	
肝病的实验诊断		检测细菌内毒素的方法
血清总胆红素则定	"1.溶血性黄疸：总胆红素升高，间接胆红素高度增加，直接胆红素正常或微增
2.肝细胞性黄疸：三者均升高
3.阻塞性黄疸：总胆红素升高，直接胆红素高度增加，间接胆红素正常或微增
增高：肝脏疾病，肝外疾病，原发性胆汁性肝硬化溶血性黄疸急性黄疸性肝炎新生儿黄疸慢性活动期肝炎闭塞性黄疸病毒性肝炎胆石症阻塞性黄疸胰头癌肝硬化输血错误。"	主要是用于检测新型隐球菌的感染
血清直接胆红素测定	"1.溶血性黄疸：总胆红素升高，间接胆红素高度增加，直接胆红素正常或微增
2.肝细胞性黄疸：三者均升高
3.阻塞性黄疸：总胆红素升高，直接胆红素高度增加，间接胆红素正常或微增"	这是一种检查细菌内毒素的试验方法，亦称细菌内毒素检查法。
血清间接胆红素测定	"1.溶血性黄疸：总胆红素升高，间接胆红素高度增加，直接胆红素正常或微增
2.肝细胞性黄疸：三者均升高
3.阻塞性黄疸：总胆红素升高，直接胆红素高度增加，问接胆红囊正常或微增"	检测抗生素耐药性
血清δ-胆红素测定	血清胆红素测定不仅能反映肝脏损害程度，对黄疸的鉴别也尤其重要。	阳性预示对头孢泊肟等抗菌药无效
血清总胆汁酸测定	急性肝炎，慢性活肝，肝硬化，肝癌TBA结果明显升高。TBA测定用于监测爆性肝病意义更大，是一项很实用的肝功能诊断指标	诊断梅毒
血浆氮测定	用于诊断肝脏疾病	葡聚糖广泛存在于真菌细胞壁，(1，3)-β-D葡聚糖占真菌细胞壁成分的50%以上，是真菌细胞壁上的特有成分。真菌进入人体血液或深部组织后，经吞噬细胞的吞噬、消化等处理， (1，3)-β-D葡聚糖可从细胞壁释放，使血液及其他体液中含量增高；而在浅部真菌感染时， (1，3)-β-D葡聚糖未被释放，故其在体液中的含量不增高，可通过对血液或非血液标本中(1，3) -β-D葡聚糖的减少了植株变而多样吸性真菌。
血清丙氨酸氨基转移酶测定	升高：常见于急慢性肝炎、药物性肝损害、脂肪肝、肝硬化、心肌梗塞、心肌炎及胆道疾病等。	
血清天门冬氨酸氨基转移酶测定	升高：常见于心肌梗塞发病期、急慢性肝炎、中毒性肝炎、心功能不全、皮肌炎等。	
血清γ-谷氨酰基转移酶测定	升高：常见于原发性或转移性肝癌、急性肝炎、慢性肝炎活动期肝硬化、急性胰腺炎及心力衰竭等。	
血清y-谷氨酰基转移酶同工酶电泳	"正常情况:低于50IU/ml
增高：肝内和肝外梗阻性黄疸，肝炎，肝硬化，酒精或药物性肝损害。"	
血清碱性磷酸酶测定	"碱性磷酸降在发生梗阻时会升高，尤其是阻塞性黄疸，另外在骨能系统疾病时碱性磷酸酶也会升高.骨折，骨骼肿瘤时碱性磷酸酶的活性同样可以升高
升高：常见于肝癌、肝硬化、阻塞性黄疸、急慢性黄疸型肝炎、骨细胞瘤、骨转移癌、骨折恢复期。另外，少年儿童在生长发育期骨骼系统活跃，可使ALP增高。
注意：使用不同缓冲液，结果可出现明显差异。"	
血清碱性磷酸酶同工酶电泳分析	对诊断肝胆疾病有一定帮助	
血清骨型碱性磷酸酶质量测定	小儿佝偻病、孕妇、绝经期妇女、老年人血钙水平检测、指导科学补钙	
血清胆碱脂酶测定	"增高：维生素B缺乏症、甲状腺机能亢进、高血压、糖尿病、肾病综合征等
减低：有机磷农药中毒、肝实质细胞损伤、营养不良等"	
血清单胺氧化酶测定	"正常情况:(8-31)u/ml
增高：慢性活动性肝炎，肝硬化，甲状腺机能亢进，癌转移.
降低：系统性红斑狼疮，恶性肿瘤，服用糖皮质激素期间。"	
血清5'核苷酸酶测定	正常情况:(2-17)u/ml。增高:阻塞性黄疸,肝癌	
血清α-L-岩藻糖苷酶测定	"对原发性肝癌进行疗效观察和监测术后复发
血清AFU可以作为血清AFP的良好之互补手段，成为原发性
肝癌的诊断、疗效观察和术后随访的敏感而特异的标志物。原发性肝癌病人的血清AFU活性不仅显著高于健康人，而且显著高于转移性肝癌、胆管细胞癌、恶性血管内皮细胞瘤、恶性间皮瘤、肝硬化、先天性肝囊肿和其它良性肝占位性病变，对原发生肝癌的诊断阳性率为64-81%不等，特异性在90%左右。阳性率的差别可能与研究对象、样本数、对病症诊断标准的控制及诊断临界值的确定有关。
血清AFU活性与性别、年龄以及血清ALT、AST、AKP、S'-NT、GGT、TS、PT、GGP和ALB等肝功能试验结果不相关，原发性肝癌病人血清AFU活性与肿瘤转移与否及分化程度不相关。对原发生肝癌手术切除或化疗后的血清AFU活性的动态随访，发现AFU活性呈下降趋势，AFU活性的重新升高，提示癌症复发。同时，血清AFU升高，对血清AFP阳性或是阴性的肝细胞癌均有明显的定性诊断意义，尤其对肝细脆痛的早期诊断价值值得重视。肝细胞癌手述切除后血清AFU活性动态观察还揭示，测定这一指标有助于对肝细胞癌进行疗效观察和监测术后复发。"	
血清IV型胶原测定	能反映肝纤维化的程度，随着橡迁肝-爆活肝-肝硬化-肝癌病程演变，Ⅳ-C胶原在血清含量逐步升高	
血清Ⅱ型胶原测定	是肝纤维化的良好血清学指标	
血清层粘连蛋白测定	反映肝纤维化，LN与纤维化程度和门脉高压正相关，纤维化后期升高尤为显著，肿瘤患者血清LN水平升高，与糖尿病。肾小球硬化等疾病有关	
血清纤维连接蛋白测定	急性肝炎、重症肝炎、失代偿的肝硬化和肝癌患者，含量显奢降低。测定房缓水中的含量对鉴别渗出液的性质较有意义，恶性肿瘤的腹水含量显著高于肝硬化腹水，结核、结缔组织病、间皮瘤患者瘤水中含量又明显高于肿瘤者。	
血清透明质酸酶测定	血清HA在急性，慢迁肝时轻度升高，慢活肝时显著升高；肝硬化时极度升高	
腺苷脱氨酶测定	肝脏疾病：ADA活性是反映肝损伤的敏感指标，可作为肝功能常规检查项目之一，与ALT或GGT组成肝酶谱能较全面地反映肝脏病的酶学改变	
血清亮氨酰氨基肽酶测定	"正常情况:(27-50)u/dl
增高：胆道梗阻，肝癌，急/慢性肝炎，肝硬化，脂肪肝，妊娠，甲状旁腺机能亢进。"	
		
人Ⅲ型前胶原肽(PⅢP)测定	反映肝纤维化程度和活动性	
谷犹甘肽还原酶测定	"GR病理性增高
①肝脏疾病：急性肝炎、药物性肝损、中毒性肝炎、慢性肝炎、肝癌、肝硬化早期、等均有明显的伴随性升高 [1][2]。其中急性传染性肝炎患者，血清GR活性明显升高[3]。肝硬化早期阶段GR会因个体差异有不同程度的升高，但在肝硬化晚期，GR表现往往为正常，原发性肝细胞癌和广泛转移性肝肿瘤时，血清GR显著升高[1]。"	
血清谷氨酸脱氢酶测定	异常结果：升高：急性病毒性肝炎、慢性肝炎、肝硬化	
甘胆酸(CG)检测	甘胆酸(CG)是由胆酸与甘氨酸结合而成，是主要胆汁酸之一，测定CG的含量是评价肝功能的敏感指标之一，可作为肝炎治疗的监测，反映胆道通畅情况	
糖缺失性转铁蛋白(CDT)检测	"1)用于重度饮酒者的治疗监测，酒驾监测等司法领域，还可用于严禁饮酒职业的入职检查；
2)被推荐用于糖缺失糖蛋白综合征的辅助诊断：
3)判断急性胰腺炎的发病是否与饮酒状态相关；
4)对于由酒精损害引起的肝脏疾病有指示作用：
5)无意识的颅内出血筛查等，尤其对于精神治疗；或初级医疗部门患者、创伤和术前患者检，CDT 可预测急性戒酒综合征的风险。"	
血清天门冬氨酸氨基同工酶测定	作为肝脏严重损伤和肝细胞坏死的指标。	
异柠檬酸脱氢酶测定(ICDH)	对诊断肝病有一定意义	
谷氨酸脱氢酶则定	"@庄乡诊断网
异常结果：升高：急性病氨化药效、零性肝炎、肝癌化"	
